search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,cmbs_status,cmbs_details,cmbs_confidence,cmbs_evidence
"South Beach, Miami Beach, Florida",2.0,Renzzi On The Beach,"942 Pennsylvania Ave, Miami Beach, FL 33139, USA",2.7,61,OPERATIONAL,12,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 61 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: broken | Negative review signal: refund | Negative review signal: not maintained | Negative review signal: disappointing | Operational distress signal: no staff,https://maps.google.com/?cid=10685194591534037308&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Renzzi On The Beach"" ""942 Pennsylvania Ave, Miami Beach, FL 33139, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2B%2522942%2BPennsylvania%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33139%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGOX-tdAGIjCEo1wSz0dx03A8zsNJLNgcXdsyWfpWDeaC8rH0J1ETR9AIT1vvEMxrixKYYD3fAoMyAnJSWgFD | Search failed for '""Renzzi On The Beach"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2BCMBS&q=EgRyjzGyGOf-tdAGIjAtC2qBRd-qZg2DPBSbIhRhoDDP8_CxIGzATlGokxspwUa1elez4c1R47Jxa9zM90UyAnJSWgFD | Search failed for '""Renzzi On The Beach"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGOn-tdAGIjApFjEsVsJJb1Iyhw-3bLezGRuOKHa5WK2uSkiqnYB003yz0QftzMF1SWKMFUjrlW8yAnJSWgFD | Search failed for '""Renzzi On The Beach"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Renzzi%2BOn%2BThe%2BBeach%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGOv-tdAGIjA44d8UFUP_vFSa5_oWQgypW3uUVy7GhY_IseynVZ-u7sCDBqvl5EZ5lBpMx7mtT9oyAnJSWgFD"
"Mid-Beach, Miami Beach, Florida",2.0,Best Western Plus Atlantic Beach Resort,"4101 Collins Ave, Miami Beach, FL 33140, USA",3.4,3400,OPERATIONAL,12,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 3400 | Negative review signal: mold | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund | Negative review signal: disappointing | Operational distress signal: closed | Operational distress signal: understaffed,https://maps.google.com/?cid=8063864869224547005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Best Western Plus Atlantic Beach Resort"" ""4101 Collins Ave, Miami Beach, FL 33140, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2B%25224101%2BCollins%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33140%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGIWAttAGIjAziEivb_paH9trVziUdfMdvys11V_gaeBCI4Q1cX4fZYR5GlvlbxI9BKzH0_WY4ZwyAnJSWgFD | Search failed for '""Best Western Plus Atlantic Beach Resort"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2BCMBS&q=EgRyjzGyGIeAttAGIjCGYTL4x_LZo0oB_egRqrRqKAQzHxhT_NMfZkPnkR0QdS-c5NkumjQTOHCB1P9ZC4IyAnJSWgFD | Search failed for '""Best Western Plus Atlantic Beach Resort"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGImAttAGIjCMHkXik-3ev1MU_MBWuRhnOBQ-ImJaK388_eoN2JCTtCEyGMhQRwd21hTCDlkO9qEyAnJSWgFD | Search failed for '""Best Western Plus Atlantic Beach Resort"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Best%2BWestern%2BPlus%2BAtlantic%2BBeach%2BResort%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGIuAttAGIjDKEB4eBb6GZ1yHug1GG_NYSKlcadliqujJH0qkCkzAAIBNoaAPfdpa0SrtUGlD8KgyAnJSWgFD"
"Mid-Beach, Miami Beach, Florida",2.0,Notebook Hotel,"216 W 43rd St, Miami Beach, FL 33140, USA",2.3,345,OPERATIONAL,11,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 345 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: smell | Negative review signal: bed bug | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned,https://maps.google.com/?cid=17054805790016989438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Notebook Hotel"" ""216 W 43rd St, Miami Beach, FL 33140, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2B%2522216%2BW%2B43rd%2BSt%252C%2BMiami%2BBeach%252C%2BFL%2B33140%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGOv_tdAGIjCJxNfOeTHAxFuIlwu9G87bq1mAWUphad2VbVDR7nXDd6Rx_HxQy4JlU7l-x4GI_qUyAnJSWgFD | Search failed for '""Notebook Hotel"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2BCMBS&q=EgRyjzGyGO3_tdAGIjAJcddFDiOYQ62V29P7zt-fTUsOxjQmBd20-WFHEnvLSAEXNcGvE8MpDNMoQFcxfwwyAnJSWgFD | Search failed for '""Notebook Hotel"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGO__tdAGIjC-zyQ7udr0y4hnnRSnDgAn93Le-YiVlwCMcJdTcJxvkLqzdoQb6VVXzP4qQNlnvsQyAnJSWgFD | Search failed for '""Notebook Hotel"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Notebook%2BHotel%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGPH_tdAGIjA_ERUbHXtHR_XU5GVHaNpzjE-Dw1IglMxmnGOVbPyN1bwx-qCyHU_5AIYnUFGn7dUyAnJSWgFD"
"South Beach, Miami Beach, Florida",2.0,Casa Boutique Hotel,"1334 Washington Ave, Miami Beach, FL 33139, USA",4.2,1096,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: worst | Negative review signal: refund | Negative review signal: noise | Negative review signal: stained | Operational distress signal: no staff,https://maps.google.com/?cid=18033946401649630043&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Casa Boutique Hotel"" ""1334 Washington Ave, Miami Beach, FL 33139, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2B%25221334%2BWashington%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33139%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGIb_tdAGIjDeEwlR-kdzXgJbjM_WXbfgAiVOPAmOOxruHm8CzC-TrtyQw-zHAqRCKK8Mm4a8Pn4yAnJSWgFD | Search failed for '""Casa Boutique Hotel"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2BCMBS&q=EgRyjzGyGIf_tdAGIjAMXzmeGxseDOkVlr50xYTHyqCeDAPjUYzCPg7TP6iANaMKgPY5HYyDldzqgr_m3WcyAnJSWgFD | Search failed for '""Casa Boutique Hotel"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGIn_tdAGIjCquqnjpe9VQTXAsN_XJmixrvHp7LefP5yASVff9Z0rf1v4Cze2CKNG87ChuXxoVOIyAnJSWgFD | Search failed for '""Casa Boutique Hotel"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Casa%2BBoutique%2BHotel%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGIz_tdAGIjBXQ22Uu4whDwCO08hPh_TLFvvw6PNPE3awStnM4rbpneDPaCQDyehz0N4nCn91YdoyAnJSWgFD"
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" ""101 Fairway Dr, Miami, FL 33166, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2B%2522101%2BFairway%2BDr%252C%2BMiami%252C%2BFL%2B33166%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGNGBttAGIjCV5YBJy9Ytc_7oMd8ySYFGeFbQF0_h0HtOpirnL1I8c96IqMCObYIsPZbnBV24yBkyAnJSWgFD | Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2BCMBS&q=EgRyjzGyGNOBttAGIjDReeExgP6MN1iuSNTohOlEA2AtrNMwUnkVPLEfhJYpuDbH_WDYjn27TsOlrUPsELwyAnJSWgFD | Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGNWBttAGIjCKLNR7Lw89BGCDe9dKVUNnhqyDQIwAXMoQSMpBX-QA21-ufGGwjldR95vlbqMetOUyAnJSWgFD | Search failed for '""Extended Stay America Premier Suites- Miami - Airport - Miami Springs"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Extended%2BStay%2BAmerica%2BPremier%2BSuites-%2BMiami%2B-%2BAirport%2B-%2BMiami%2BSprings%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGNeBttAGIjAo3jys5AMxx_ZeLwZrqSEv2Lru--CGx4qBSrmr2gm7koZKZDMxVxUguGvEZET0FxoyAnJSWgFD"
"Orlando International Drive, Florida",3.0,Four Points by Sheraton Orlando International Drive,"5905 International Dr, Orlando, FL 32819, USA",4,3749,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: noise | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed,https://maps.google.com/?cid=896922369922574543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Four Points by Sheraton Orlando International Drive"" ""5905 International Dr, Orlando, FL 32819, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2B%25225905%2BInternational%2BDr%252C%2BOrlando%252C%2BFL%2B32819%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGKWDttAGIjCa1j9YwdgYvYRfsU0eun3XcyMscMrfzl3_1Gi7PtuzUeTJc-T4dZ0VlCSF1uaT3B8yAnJSWgFD | Search failed for '""Four Points by Sheraton Orlando International Drive"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2BCMBS&q=EgRyjzGyGKeDttAGIjAAvyfrT509AXYrlne8PSKoyyDexaqcpHM9rhO60UCNdcw1JXoS9AP02pP4mkvhtFAyAnJSWgFD | Search failed for '""Four Points by Sheraton Orlando International Drive"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGKmDttAGIjCaH-PBV0qRnoPn2NUZclNtAUMUyhge7ae1kzcgSIzEuMm9E0wg2rfSjj3Ef3c3_igyAnJSWgFD | Search failed for '""Four Points by Sheraton Orlando International Drive"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Four%2BPoints%2Bby%2BSheraton%2BOrlando%2BInternational%2BDrive%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGKuDttAGIjDzfaOeGRUM74lIX0JtFHRLAuSmhS-QUEsaBbE3Oz7zPlMpyvmQuers2Javr_BhkisyAnJSWgFD"
"Mid-Beach, Miami Beach, Florida",2.0,Secret Garden Miami Beach,"4210 Collins Ave, Miami Beach, FL 33140, USA",3.2,403,OPERATIONAL,8,Low rating: 3.2 | Moderate-to-low rating with enough reviews: 403 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund,https://maps.google.com/?cid=4073148234205387648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Secret Garden Miami Beach"" ""4210 Collins Ave, Miami Beach, FL 33140, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2B%25224210%2BCollins%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33140%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGNb_tdAGIjBUrrgM1ne9luUUo4HDhw6tCA5jkJDQ5CVMLRmMTxoeOJG5O445lVSXMUJc2_GMDOUyAnJSWgFD | Search failed for '""Secret Garden Miami Beach"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2BCMBS&q=EgRyjzGyGNj_tdAGIjDd4Te-W3ioTKZe7n1il3JZm5bJGlFkofLIu83buhFTMNf4I4iwRsWKE38wY0C3ax0yAnJSWgFD | Search failed for '""Secret Garden Miami Beach"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGNr_tdAGIjAA5bJeF3Atz42vU-ZMgCTKYc_wtK8UaYVcA8beJ57eVCKi5JMr6RPM1YSa_85Nuf0yAnJSWgFD | Search failed for '""Secret Garden Miami Beach"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Secret%2BGarden%2BMiami%2BBeach%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGNv_tdAGIjBHCpaincov8IcH9-um6xOUtV9_q05W2mLdLI8fMmzksqlRKzMRbPdUAdm-C_qtwx4yAnJSWgFD"
"Miami International Airport, Florida",3.0,Clarion Inn & Suites Miami International Airport,"5301 NW 36th St, Miami Springs, FL 33166, USA",3.3,4716,OPERATIONAL,8,Low rating: 3.3 | Moderate-to-low rating with enough reviews: 4716 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down,https://maps.google.com/?cid=14300043739092299284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Clarion Inn & Suites Miami International Airport"" ""5301 NW 36th St, Miami Springs, FL 33166, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2B%25225301%2BNW%2B36th%2BSt%252C%2BMiami%2BSprings%252C%2BFL%2B33166%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGLqBttAGIjDUb31pMDy3cX8XKxm76Ym3LNEtP1ZkXjH-vQhICYEhY3IJPGzqWYPhVnCzDyI9sNIyAnJSWgFD | Search failed for '""Clarion Inn & Suites Miami International Airport"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2BCMBS&q=EgRyjzGyGLyBttAGIjCtrTD5vuxjIz-9CGdh6Zjbconlhnn0JkyFsxEdhboo81bxg0iBmU5SjlEJEvPqGAAyAnJSWgFD | Search failed for '""Clarion Inn & Suites Miami International Airport"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGL6BttAGIjBQdbLgJQxkSTvSkMU3StHBw7BZ-c8cpklZH0zIJX9KO60hifI8wjWmNlzxbwDf8f4yAnJSWgFD | Search failed for '""Clarion Inn & Suites Miami International Airport"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Clarion%2BInn%2B%2526%2BSuites%2BMiami%2BInternational%2BAirport%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGMCBttAGIjBMMBWfjpnvC7Ia1jSkiUO4PPIuspfatjSKNU9X_FdBY7IqygFMijxU-7NFShzE0doyAnJSWgFD"
"Orlando International Drive, Florida",3.0,Super 8 by Wyndham Orlando International Drive,"5900 American Way, Orlando, FL 32819, USA",3.1,1938,OPERATIONAL,8,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 1938 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: unsafe,https://maps.google.com/?cid=7160547498519547018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Super 8 by Wyndham Orlando International Drive"" ""5900 American Way, Orlando, FL 32819, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2B%25225900%2BAmerican%2BWay%252C%2BOrlando%252C%2BFL%2B32819%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGLyDttAGIjDtn5UeSVIcf5-1cIK1lVgP1SKlA5Fu1Y8VhiaUbyMxZQY0A-tPW4p8NiKWkT2ubDAyAnJSWgFD | Search failed for '""Super 8 by Wyndham Orlando International Drive"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2BCMBS&q=EgRyjzGyGL6DttAGIjBMoA8wN5UCxWW_skmK4W2IxZ-mFXsiuI0XLcYxGAtZL4DeNVTYdahyNEVzNA5Zw-YyAnJSWgFD | Search failed for '""Super 8 by Wyndham Orlando International Drive"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGMCDttAGIjDTvahEFXEwm58hv0jF534Kn_Sb26YpcepdeW4Pqej3Mnt6RbbiLqU3IhWf0fSAQLoyAnJSWgFD | Search failed for '""Super 8 by Wyndham Orlando International Drive"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Super%2B8%2Bby%2BWyndham%2BOrlando%2BInternational%2BDrive%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGMGDttAGIjA4w6_VVqFoHISSTEkZuC5-6nibmOAoMlrYw4rrMfCBEgIsdR_iX4xMpGLtZPXpFa0yAnJSWgFD"
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,724,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 724 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,Unknown,,Not Found,"Search failed for '""Kenmore Village Hotel"" ""1050 Washington Ave, Miami Beach, FL 33139, USA"" CMBS loan': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2B%25221050%2BWashington%2BAve%252C%2BMiami%2BBeach%252C%2BFL%2B33139%252C%2BUSA%2522%2BCMBS%2Bloan&q=EgRyjzGyGMn-tdAGIjBgXlFt8MRKO88kNjEzjInaxVW2-5Ke-txBUZ5m1u5KRrP_0KV8lOIX1ozGWbbX6HoyAnJSWgFD | Search failed for '""Kenmore Village Hotel"" CMBS': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2BCMBS&q=EgRyjzGyGMv-tdAGIjA0gMjDSA0Qu-A95hOPMbw_4a4O5GSADplkiFZC6jzs8zNsMGyy2OQQ1lW9BDfzT2gyAnJSWgFD | Search failed for '""Kenmore Village Hotel"" watchlist delinquent special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2Bwatchlist%2Bdelinquent%2Bspecial%2Bservicing&q=EgRyjzGyGM3-tdAGIjBnswblIa-cvpkvcYbB9btkZVXW_t_cTcjAjRp9LpNq66kPiv9jMuSFj_Gr8tQ-vT4yAnJSWgFD | Search failed for '""Kenmore Village Hotel"" loan special servicing': 429 Client Error: Too Many Requests for url: https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522Kenmore%2BVillage%2BHotel%2522%2Bloan%2Bspecial%2Bservicing&q=EgRyjzGyGM_-tdAGIjB36drn1YI_VrA00886y3OARq2wSCtdZHLWPReI8LWY-Bl3DA1cU8LvyASLBcvyOg0yAnJSWgFD"
