search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,property_match_found,property_match_confidence,property_record_source,property_record_address,property_record_owner_hint,property_record_match_score,property_record_evidence
"Mid-Beach, Miami Beach, Florida",2.0,Best Western Plus Atlantic Beach Resort,"4101 Collins Ave, Miami Beach, FL 33140, USA",3.4,3402,OPERATIONAL,14,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 3402 | Negative review signal: mold | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund | Negative review signal: disappointing | Operational distress signal: closed | Operational distress signal: understaffed | Complaint rate increase: 1.4,2,5,0,100.0,2.4,0.0,2.4,1.4,0.0,1.4,https://maps.google.com/?cid=8063864869224547005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4101 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'best western plus atlantic beach resort'
"Orlando International Drive, Florida",3.0,Super 8 by Wyndham Orlando International Drive,"5900 American Way, Orlando, FL 32819, USA",3.1,1938,OPERATIONAL,14,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 1938 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: unsafe | Review volume decline: -33.33% | Rating decline: -3.0 | Complaint rate increase: 0.5,6,2,3,-33.33,1.0,4.0,-3.0,1.5,1.0,0.5,https://maps.google.com/?cid=7160547498519547018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5900 american way orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'super 8 by wyndham orlando international drive'
"Mid-Beach, Miami Beach, Florida",2.0,Notebook Hotel,"216 W 43rd St, Miami Beach, FL 33140, USA",2.3,345,OPERATIONAL,13,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 345 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: smell | Negative review signal: bed bug | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned | Complaint rate increase: 1.6,2,5,0,100.0,1.4,0.0,1.4,1.6,0.0,1.6,https://maps.google.com/?cid=17054805790016989438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,216 w 43rd st miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'notebook hotel'
"South Beach, Miami Beach, Florida",2.0,Renzzi On The Beach,"942 Pennsylvania Ave, Miami Beach, FL 33139, USA",2.7,61,OPERATIONAL,12,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 61 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: broken | Negative review signal: refund | Negative review signal: not maintained | Negative review signal: disappointing | Operational distress signal: no staff,0,3,2,50.0,1.33,1.0,0.33,2.33,4.0,-1.67,https://maps.google.com/?cid=10685194591534037308&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,942 pennsylvania ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'renzzi on the beach'
"Mid-Beach, Miami Beach, Florida",2.0,Secret Garden Miami Beach,"4210 Collins Ave, Miami Beach, FL 33140, USA",3.2,403,OPERATIONAL,12,Low rating: 3.2 | Moderate-to-low rating with enough reviews: 403 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund | Rating decline: -2.75 | Complaint rate increase: 1.25,4,4,1,300.0,2.25,5.0,-2.75,1.25,0.0,1.25,https://maps.google.com/?cid=4073148234205387648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4210 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'secret garden miami beach'
"South Beach, Miami Beach, Florida",2.0,Casa Boutique Hotel,"1334 Washington Ave, Miami Beach, FL 33139, USA",4.2,1096,OPERATIONAL,11,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: worst | Negative review signal: refund | Negative review signal: noise | Negative review signal: stained | Operational distress signal: no staff | Complaint rate increase: 1.8,2,5,0,100.0,2.4,0.0,2.4,1.8,0.0,1.8,https://maps.google.com/?cid=18033946401649630043&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1334 washington ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'casa boutique hotel'
"South Beach, Miami Beach, Florida",2.0,The Miami Beach,"1018 Meridian Ave, Miami Beach, FL 33139, USA",4.2,1353,OPERATIONAL,11,Negative review signal: smell | Negative review signal: rude | Negative review signal: refund | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: no staff | Review volume decline: -33.33% | Rating decline: -0.83,4,2,3,-33.33,1.5,2.33,-0.83,2.0,1.67,0.33,https://maps.google.com/?cid=11597227605138810122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1018 meridian ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'the miami beach'
"Mid-Beach, Miami Beach, Florida",2.0,Trésor Tower,"4401 Collins Ave, Miami Beach, FL 33140, USA",4.2,195,OPERATIONAL,11,Negative review signal: dirty | Negative review signal: filthy | Negative review signal: leak | Negative review signal: broken | Negative review signal: disappointing | Operational distress signal: closed | Rating decline: -1.67 | Complaint rate increase: 1.33,4,3,1,200.0,3.33,5.0,-1.67,1.33,0.0,1.33,https://maps.google.com/?cid=4661875372813949854&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4401 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'trésor tower'
"Orlando International Drive, Florida",3.0,Four Points by Sheraton Orlando International Drive,"5905 International Dr, Orlando, FL 32819, USA",4,3749,OPERATIONAL,11,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: noise | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 2.2,2,5,0,100.0,3.4,0.0,3.4,2.2,0.0,2.2,https://maps.google.com/?cid=896922369922574543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5905 international dr orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'four points by sheraton orlando international drive'
"Miami International Airport, Florida",3.0,Clarion Inn & Suites Miami International Airport,"5301 NW 36th St, Miami Springs, FL 33166, USA",3.3,4717,OPERATIONAL,10,Low rating: 3.3 | Moderate-to-low rating with enough reviews: 4717 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down | Complaint rate increase: 1.0,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,https://maps.google.com/?cid=14300043739092299284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5301 nw 36th st miami springs fl 33166 usa,,100,Prototype property match generated from normalized address for 'clarion inn & suites miami international airport'
