Company Name,Industry,State,Company Type,Founded Year,Years in Business,Founder Name,Founder Led,Family Owned,Founder Age Estimate,Seller Readiness Score,Evidence Summary,Evidence Sources,Extraction Confidence,Ownership Status
5-Star Insurance,Insurance,FL,Unknown,2010,16,Vicki Raboin,Yes,Yes,Unknown,50,Founded in 2010 by Vicki Raboin | Vicki Raboin currently serves as the leader of the company | Company explicitly described as family-owned,https://5starinsuranceagency.com;https://insurancenewsnet.com/oarticle/5star-life-insurance-company-appoints-ronald-r-gendreau-chair-of-the-board;https://www.5starlifeinsurance.com/about-5star-life/executive-leadership;https://www.5starlifeinsurance.com/category/press-releases;https://www.5starlifeinsurance.com/who-we-are;https://www.afba.com/company-news/5star-life-insurance-co-awarded-on-the-forbes-worlds-best-insurance-companies-2024-list;https://www.fivestar-insurance.com;https://www.insurancebusinessmag.com/us/guides/top-10-car-insurance-companies-in-florida-557204.aspx;https://www.linkedin.com/company/5star-life-insurance-company;https://www.mercuryinsurance.com/local/florida/auto-insurance,High,Founder Owned
AAA,Consumer Services,FL,Unknown,1902,124,Antonio Peña,No,Unknown,Unknown,35,"Founded in 1902 by nine original motor clubs, including the Chicago Automobile Club and the Automobile Club of America. | Antonio Peña was the founder of AAA. | Gene Boehm is the current President and CEO, indicating that the leadership has changed since the founder's time.",https://aaafoundation.org/our-history;https://careers.mwg.aaa.com/who-we-are;https://en.wikipedia.org/wiki/American_Automobile_Association;https://en.wikipedia.org/wiki/Lucha_Libre_AAA_Worldwide;https://exa.ai/websets/directory/aaa-executives;https://exa.ai/websets/directory/aaa-offices;https://newsroom.aaa.com/aaa-executive-leadership-team;https://newsroom.aaa.com/about;https://www.ebsco.com/research-starters/history/american-automobile-association-established;https://www.linkedin.com/company/aaa;https://www.linkedin.com/company/aaanational,High,Unknown
ABANCA USA,Financial Services,FL,Unknown,Unknown,0,Juan Carlos Escotet Rodríguez,No,Unknown,Unknown,0,ABANCA USA is an International Branch regulated by the Florida Office of Financial Regulation (OFR) and Federal Reserve Bank (FED). | Juan Carlos Escotet Rodríguez is the Chairman of ABANCA. | Francisco Botas is the CEO of ABANCA.,https://abancausa.com/en;https://en.wikipedia.org/wiki/Abanca;https://www.abancacorporacionbancaria.com/en/investors/corporate-governance;https://www.abancausa.com/en/about-us;https://www.abancausa.com/en/business;https://www.facebook.com/100063620526908/posts/banco-gallego-abanca-abre-oficina-en-miamipresentaci%C3%B3n-en-miami-del-nuevo-equipo/1818992251564513;https://www.linkedin.com/company/abancausa;https://www.linkedin.com/in/monivazquez,Medium,Unknown
AG GENERAL CONTRACTOR,Residential Building Construction,FL,Private,1980,46,Guillermo Gaona and Pablo Allamand Sr.,No,Unknown,Unknown,35,AG General Contractor was founded in 1980 by Guillermo Gaona and Pablo Allamand Sr. | AG General Contractor is described as a privately-held construction company.,https://aggeneralconst.com/about-us;https://aggeneralcontractor.com/about-us-ag-general-contractor;https://agigc.com/about-us;https://search.sunbiz.org/Inquiry/corporationsearch/SearchResultDetail?inquirytype=EntityName&directionType=ForwardList&searchNameOrder=AGGENERALCONTRACTOR+L200000770110&aggregateId=flal-l20000077011-9ed59b2f-c37b-401a-accf-b3129457b427&searchTerm=AGGA+LLC&listNameOrder=AGGEAUX+M230000063350;https://www.agc.org/about-us/leadership;https://www.houzz.com/professionals/general-contractors/ag-general-contractor-llc-pfvwus-pf~1203888448;https://www.linkedin.com/company/ag-general-contractor;https://www.linkedin.com/in/carlos-gonzalez-licensed-general-contractor;https://www.privco.com/company/ag-general-contractor,Medium,Unknown
ALARM BROKERS OF FLORIDA LLC,Security and Investigations,FL,Unknown,2016,10,"Steve Carulo, Mary Runno",Yes,Unknown,30-40,25,Founded in 2016 by Steve Carulo and Mary Runno | Steve Carulo currently serves as CEO,https://www.alarmbrokers.net;https://www.linkedin.com/company/alarm-brokers-of-florida-llc;https://www.linkedin.com/in/stevecarulo;https://www.securityindustry.org/2023/11/09/sia-new-member-profile-alarm-brokers-of-florida;https://www.securitysystemsnews.com/article/40-under-40-steve-carulo-chief-executive-officer-alarm-brokers-of-florida-llc,High,Founder Owned
ALLIED STEEL BUILDINGS,Manufacturing & Production,FL,Unknown,2003,23,Michael Lassner,Yes,Unknown,Unknown,35,Founded in 2003 by entrepreneur Michael Lassner | Michael Lassner currently serves as President and CEO,https://www.alliedbuildings.com/about-us;https://www.alliedbuildings.com/automated-factory;https://www.alliedbuildings.com/contact-us;https://www.alliedbuildings.com/francisco-aguiar-cfo;https://www.alliedbuildings.com/steel-building-engineering;https://www.columbiatribune.com/press-release/story/61411/from-broker-to-global-manufacturer-allied-steel-buildings-celebrates-23-years-of-relentless-growth;https://www.greatplacetowork.com/certified-company/7086879;https://www.linkedin.com/company/allied-steel-buildings-inc,High,Unknown
ARCpoint Labs,Medical and Diagnostic Laboratories,Unknown,Unknown,Unknown,0,Felix Mirando,No,Unknown,Unknown,0,Felix Mirando is the Founder and Chairman of ARCpoint Labs Franchise Group. | Kelly Crompvoets is currently serving as the President at ARCpoint Labs.,https://arcpointfranchise.com/who-is-arcpoint-labs/meet-the-leadership-team;https://arcpointfranchise.com/who-is-arcpoint-labs/the-arcpoint-labs-story;https://business.lynchburgregion.org/list/member/arcpoint-labs-of-lynchburg-49661;https://finance.yahoo.com/quote/ARC.V/profile;https://www.arcpointlabs.com/about-us;https://www.arcpointlabs.com/find-your-location;https://www.linkedin.com/company/arcpoint-labs;https://www.youtube.com/watch?v=BCjfPyhorlw,Medium,Unknown
Aardy,Insurance,FL,Unknown,2015,11,Unknown,Unknown,Unknown,Unknown,10,"Company operates in the insurance industry. | Founded in 2015. | Located in Miami, Florida. | Company size is 11-50 employees.",https://www.aardy.com/about-us;https://www.aardy.com/blog/aardy-voted-best-travel-insurance-marketplace;https://www.linkedin.com/company/aardy;https://www.linkedin.com/in/jonathan-breeze;https://www.linkedin.com/in/luisfaccovianna;https://www.yardi.com/company/leadership-team,Medium,Unknown
Absolute Payroll,Payroll Services,FL,Unknown,2002,24,Drew Tennimon,Yes,Unknown,Unknown,35,Absolute Payroll is a Florida payroll company that is locally owned and operated. | Drew Tennimon is identified as the Owner of Absolute Payroll Service. | The company was founded in 2002.,https://www.absolutepayrollinc.com;https://www.absolutepayrollinc.com/about-us;https://www.absolutepayrollinc.com/contact;https://www.absolutepaytrust.com;https://www.linkedin.com/in/drew-tennimon-0463306;https://www.linkedin.com/in/nathanielbeckerabsolutepayroll;https://www.scgov.net/Home/Components/BusinessDirectory/BusinessDirectory/284/30?widgetId=81,High,Founder Owned
"Accent Distributing, Inc.",Graphic Design,FL,Unknown,2002,24,Unknown,Unknown,Unknown,Unknown,20,Accent Distributing is a master 3M Authorized Distributor with more than 25 years of industry experience. | Founded in 2002.,https://accentdistributing.com;https://accentdistributing.com/pages/contact-us;https://ir.apollo.com/news-events/press-releases/detail/462/apollo-impact-to-acquire-accent-family-of-companies-a;https://www.crossplanecapital.com/portfolio/accent-family-of-companies;https://www.linkedin.com/company/accent-distributing-llc;https://www.linkedin.com/in/shawn-cabral-853895169,Medium,Unknown
